"date";"category";"value"
"2025-05-01";"Республика Крым";64.9
"2025-05-01";"Республика Марий Эл";69.2
"2025-05-01";"Республика Мордовия";64
"2025-05-01";"Республика Саха (Якутия)";79.1
"2025-05-01";"Республика Северная Осетия — Алания";48.8
"2025-05-01";"Республика Татарстан";67.6
"2025-05-01";"Республика Тыва";68.4
"2025-05-01";"Республика Хакасия";66.6
"2025-05-01";"Россия";69.3
"2025-05-01";"Ростовская область";63.9
"2025-05-01";"Рязанская область";64.2
"2025-05-01";"Самарская область";68.1
"2025-05-01";"Санкт-Петербург";75.3
"2025-05-01";"Саратовская область";65.8
"2025-05-01";"Сахалинская область";74.4
"2025-05-01";"Свердловская область";72.2
"2025-05-01";"Севастополь";69.3
"2025-05-01";"Смоленская область";63.4
"2025-05-01";"Ставропольский край";61.3
"2025-05-01";"Тамбовская область";62.3
"2025-05-01";"Тверская область";69.1
"2025-05-01";"Томская область";73.6
"2025-05-01";"Тульская область";66
"2025-05-01";"Тюменская область";74.3
"2025-05-01";"Удмуртская Республика";70.5
"2025-05-01";"Ульяновская область";64.4
"2025-05-01";"Хабаровский край";73.2
"2025-05-01";"Ханты-Мансийский автономный округ — Югра";74.5
"2025-05-01";"Челябинская область";68.2
"2025-05-01";"Чеченская Республика";26.1
"2025-05-01";"Чувашская Республика";65.8
"2025-05-01";"Чукотский автономный округ";80.9
"2025-05-01";"Ямало-Ненецкий автономный округ";77.3
"2025-05-01";"Ярославская область";70.8
"2025-04-01";"Алтайский край";67.1
"2025-04-01";"Амурская область";70.6
"2025-04-01";"Архангельская область";74.9
"2025-04-01";"Астраханская область";59.7
"2025-04-01";"Белгородская область";65.2
"2025-04-01";"Брянская область";61
"2025-04-01";"Владимирская область";66.7
"2025-04-01";"Волгоградская область";64.1
"2025-04-01";"Вологодская область";71.1
"2025-04-01";"Воронежская область";68.5
"2025-04-01";"Еврейская автономная область";70.7
"2025-04-01";"Забайкальский край";70.9
"2025-04-01";"Ивановская область";63.8
"2025-04-01";"Иркутская область";70
"2025-04-01";"Кабардино-Балкарская Республика";46.5
"2025-04-01";"Калининградская область";71.7
"2025-04-01";"Калужская область";66
"2025-04-01";"Камчатский край";75.7
"2025-04-01";"Карачаево-Черкесская Республика";49.8
"2025-04-01";"Кемеровская область";71
"2025-04-01";"Кировская область";70.9
"2025-04-01";"Костромская область";67.1
"2025-04-01";"Краснодарский край";65.6
"2025-04-01";"Красноярский край";70
"2025-04-01";"Курганская область";67.9
"2025-04-01";"Курская область";64.9
"2025-04-01";"Ленинградская область";73.7
"2025-04-01";"Липецкая область";64.8
"2025-04-01";"Магаданская область";75.5
"2025-04-01";"Москва";74.4
"2025-04-01";"Московская область";70.8
"2025-04-01";"Мурманская область";76.9
"2025-04-01";"Ненецкий автономный округ";82.1
"2025-04-01";"Нижегородская область";69.1
"2025-04-01";"Новгородская область";70.5
"2025-04-01";"Новосибирская область";68.3
"2025-04-01";"Омская область";68.2
"2025-04-01";"Оренбургская область";65.5
"2025-04-01";"Орловская область";68.1
"2025-04-01";"Пензенская область";62.2
"2025-04-01";"Пермский край";71.9
"2025-04-01";"Приморский край";65.9
"2025-04-01";"Псковская область";68.2
"2025-04-01";"Республика Адыгея";61.3
"2025-04-01";"Республика Алтай";71.1
"2025-04-01";"Республика Башкортостан";70.1
"2025-04-01";"Республика Бурятия";71
"2025-04-01";"Республика Дагестан";30.3
"2025-04-01";"Республика Ингушетия";21.5
"2025-04-01";"Республика Калмыкия";60.3
"2025-04-01";"Республика Карелия";75.3
"2025-04-01";"Республика Коми";76.6
"2025-04-01";"Республика Крым";67.1
"2025-04-01";"Республика Марий Эл";68.4
"2025-04-01";"Республика Мордовия";65.2
"2025-04-01";"Республика Саха (Якутия)";79.1
"2025-04-01";"Республика Северная Осетия — Алания";47.9
"2025-04-01";"Республика Татарстан";67.6
"2025-04-01";"Республика Тыва";69.4
"2025-04-01";"Республика Хакасия";65.9
"2025-04-01";"Россия";68.9
"2025-04-01";"Ростовская область";63.3
"2025-04-01";"Рязанская область";64.8
"2025-04-01";"Самарская область";67.5
"2025-04-01";"Санкт-Петербург";74.7
"2025-04-01";"Саратовская область";64.5
"2025-04-01";"Сахалинская область";74.3
"2025-04-01";"Свердловская область";71.7
"2025-04-01";"Севастополь";69.5
"2025-04-01";"Смоленская область";62.5
"2025-04-01";"Ставропольский край";60.1
"2025-04-01";"Тамбовская область";61.8
"2025-04-01";"Тверская область";68.5
"2025-04-01";"Томская область";72.8
"2025-04-01";"Тульская область";66.2
"2025-04-01";"Тюменская область";73.6
"2025-04-01";"Удмуртская Республика";69
"2025-04-01";"Ульяновская область";63.3
"2025-04-01";"Хабаровский край";72.4
"2025-04-01";"Ханты-Мансийский автономный округ — Югра";73.4
"2025-04-01";"Челябинская область";66.9
"2025-04-01";"Чеченская Республика";24.7
"2025-04-01";"Чувашская Республика";65.4
"2025-04-01";"Чукотский автономный округ";80.9
"2025-04-01";"Ямало-Ненецкий автономный округ";77.2
"2025-04-01";"Ярославская область";70.4
"2025-03-01";"Алтайский край";68.3
"2025-03-01";"Амурская область";71
"2025-03-01";"Архангельская область";75.7
"2025-03-01";"Астраханская область";62.2
"2025-03-01";"Белгородская область";67
"2025-03-01";"Брянская область";61.9
"2025-03-01";"Владимирская область";67.6
"2025-03-01";"Волгоградская область";66.6
"2025-03-01";"Вологодская область";71.9
"2025-03-01";"Воронежская область";69.7
"2025-03-01";"Еврейская автономная область";72.3
"2025-03-01";"Забайкальский край";71.5
"2025-03-01";"Ивановская область";65.2
"2025-03-01";"Иркутская область";71.1
"2025-03-01";"Кабардино-Балкарская Республика";45
"2025-03-01";"Калининградская область";72.1
"2025-03-01";"Калужская область";67.4
"2025-03-01";"Камчатский край";76.7
"2025-03-01";"Карачаево-Черкесская Республика";49.1
"2025-03-01";"Кемеровская область";71.7
"2025-03-01";"Кировская область";71.6
"2025-03-01";"Костромская область";68.3
"2025-03-01";"Краснодарский край";67.4
"2025-03-01";"Красноярский край";70.9
"2025-03-01";"Курганская область";69.3
"2025-03-01";"Курская область";63.2
"2025-03-01";"Ленинградская область";74.4
"2025-03-01";"Липецкая область";66.5
"2025-03-01";"Магаданская область";76
"2025-03-01";"Москва";74.5
"2025-03-01";"Московская область";71.2
"2025-03-01";"Мурманская область";77.4
"2025-03-01";"Ненецкий автономный округ";82.8
"2025-03-01";"Нижегородская область";70
"2025-03-01";"Новгородская область";71.5
"2025-03-01";"Новосибирская область";69.5
"2025-03-01";"Омская область";69.1
"2025-03-01";"Оренбургская область";66.5
"2025-03-01";"Орловская область";67.3
"2025-03-01";"Пензенская область";63.2
"2025-03-01";"Пермский край";73.1
"2025-03-01";"Приморский край";67
"2025-03-01";"Псковская область";69
"2025-03-01";"Республика Адыгея";62.2
"2025-03-01";"Республика Алтай";72.4
"2025-03-01";"Республика Башкортостан";71
"2025-03-01";"Республика Бурятия";72.5
"2025-03-01";"Республика Дагестан";30
"2025-03-01";"Республика Ингушетия";20
"2025-03-01";"Республика Калмыкия";62.4
"2025-03-01";"Республика Карелия";76.7
"2025-03-01";"Республика Коми";77.1
"2025-03-01";"Республика Крым";66.3
"2025-03-01";"Республика Марий Эл";69.8
"2025-03-01";"Республика Мордовия";66.2
"2025-03-01";"Республика Саха (Якутия)";79.5
"2025-03-01";"Республика Северная Осетия — Алания";49.9
"2025-03-01";"Республика Татарстан";68.5
"2025-03-01";"Республика Тыва";70
"2025-03-01";"Республика Хакасия";67.3
"2025-03-01";"Россия";69.7
"2025-03-01";"Ростовская область";64.7
"2025-03-01";"Рязанская область";65.1
"2025-03-01";"Самарская область";68.4
"2025-03-01";"Санкт-Петербург";75.5
"2025-03-01";"Саратовская область";67.3
"2025-03-01";"Сахалинская область";75.2
"2025-03-01";"Свердловская область";72.5
"2025-03-01";"Севастополь";70.1
"2025-03-01";"Смоленская область";63.2
"2025-03-01";"Ставропольский край";59.9
"2025-03-01";"Тамбовская область";63.1
"2025-03-01";"Тверская область";69
"2025-03-01";"Томская область";74
"2025-03-01";"Тульская область";67.3
"2025-03-01";"Тюменская область";74.7
"2025-03-01";"Удмуртская Республика";70.4
"2025-03-01";"Ульяновская область";64.4
"2025-03-01";"Хабаровский край";73.1
"2025-03-01";"Ханты-Мансийский автономный округ — Югра";74.2
"2025-03-01";"Челябинская область";68.7
"2025-03-01";"Чеченская Республика";24.3
"2025-03-01";"Чувашская Республика";66.3
"2025-03-01";"Чукотский автономный округ";81.6
"2025-03-01";"Ямало-Ненецкий автономный округ";77.9
"2025-03-01";"Ярославская область";71.2
"2025-02-01";"Алтайский край";67.6
"2025-02-01";"Амурская область";70.5
"2025-02-01";"Архангельская область";78.5
"2025-02-01";"Астраханская область";61.8
"2025-02-01";"Белгородская область";66.4
"2025-02-01";"Брянская область";61.4
"2025-02-01";"Владимирская область";67.3
"2025-02-01";"Волгоградская область";66.3
"2025-02-01";"Вологодская область";71.5
"2025-02-01";"Воронежская область";70
"2025-02-01";"Еврейская автономная область";72.1
"2025-02-01";"Забайкальский край";70.9
"2025-02-01";"Ивановская область";64.9
"2025-02-01";"Иркутская область";70.5
"2025-02-01";"Кабардино-Балкарская Республика";45.1
"2025-02-01";"Калининградская область";71.6
"2025-02-01";"Калужская область";67.2
"2025-02-01";"Камчатский край";75.6
"2025-02-01";"Карачаево-Черкесская Республика";49
"2025-02-01";"Кемеровская область";70.6
"2025-02-01";"Кировская область";70.5
"2025-02-01";"Костромская область";67.1
"2025-02-01";"Краснодарский край";67.5
"2025-02-01";"Красноярский край";69.8
"2025-02-01";"Курганская область";68.3
"2025-02-01";"Курская область";66
"2025-02-01";"Ленинградская область";74.5
"2025-02-01";"Липецкая область";66.2
"2025-02-01";"Магаданская область";81.6
"2025-02-01";"Москва";74.7
"2025-02-01";"Московская область";71.5
"2025-02-01";"Мурманская область";77.3
"2025-02-01";"Ненецкий автономный округ";81.6
"2025-02-01";"Нижегородская область";69.9
"2025-02-01";"Новгородская область";73.5
"2025-02-01";"Новосибирская область";68.6
"2025-02-01";"Омская область";68.1
"2025-02-01";"Оренбургская область";65.9
