date;region;value
2025-02-01;Тамбовская область;1248
2025-02-01;Ставропольский край;3415
2025-02-01;Смоленская область;1317
2025-08-01;Саратовская область;3680
2025-08-01;Санкт-Петербург;15114
2025-08-01;Самарская область;5412
2025-08-01;Рязанская область;1846
2025-08-01;Ростовская область;8429
2025-08-01;Республика Хакасия;1567
2025-08-01;Республика Тыва;764
2025-08-01;Республика Татарстан;6747
2025-08-01;Республика Северная Осетия — Алания;435
2025-08-01;Республика Саха (Якутия);2898
2025-08-01;Республика Мордовия;1568
2025-08-01;Республика Марий Эл;1034
2025-08-01;Республика Крым;6475
2025-08-01;Республика Коми;1162
2025-08-01;Республика Карелия;922
2025-08-01;Республика Калмыкия;231
2025-08-01;Республика Дагестан;883
2025-08-01;Республика Бурятия;1867
2025-08-01;Республика Башкортостан;9898
2025-08-01;Республика Алтай;305
2025-08-01;Республика Адыгея;774
2025-08-01;Псковская область;1005
2025-08-01;Приморский край;2732
2025-08-01;Пермский край;4456
2025-08-01;Пензенская область;2272
2025-08-01;Орловская область;1084
2025-08-01;Оренбургская область;3549
2025-08-01;Омская область;4248
2025-08-01;Новосибирская область;8709
2025-08-01;Новгородская область;744
2025-08-01;Нижегородская область;4947
2025-08-01;Мурманская область;1015
2025-08-01;Московская область;17452
2025-08-01;Москва;16215
2025-08-01;Магаданская область;339
2025-08-01;Липецкая область;1558
2025-08-01;Ленинградская область;6265
2025-08-01;Курская область;1794
2025-08-01;Курганская область;1578
2025-08-01;Красноярский край;6327
2025-08-01;Краснодарский край;17208
2025-08-01;Костромская область;1343
2025-08-01;Кировская область;1485
2025-08-01;Кемеровская область;7633
2025-08-01;Карачаево-Черкесская Республика;341
2025-08-01;Камчатский край;778
2025-08-01;Калужская область;3745
2025-08-01;Калининградская область;4045
2025-08-01;Кабардино-Балкарская Республика;225
2025-08-01;Иркутская область;4277
2025-08-01;Ивановская область;1685
2025-08-01;Забайкальский край;1890
2025-08-01;Еврейская автономная область;151
2025-08-01;Воронежская область;3751
2025-08-01;Вологодская область;2131
2025-08-01;Волгоградская область;4284
2025-08-01;Владимирская область;4020
2025-08-01;Брянская область;1992
2025-08-01;Белгородская область;4863
2025-08-01;Астраханская область;1771
2025-08-01;Архангельская область;1778
2025-08-01;Амурская область;2444
2025-08-01;Алтайский край;2392
2025-08-01;Россия;299733
2025-07-01;Ярославская область;2163
2025-07-01;Ямало-Ненецкий автономный округ;1642
2025-07-01;Чукотский автономный округ;101
2025-07-01;Чувашская Республика;1729
2025-07-01;Чеченская Республика;102
2025-07-01;Челябинская область;6191
2025-07-01;Ханты-Мансийский автономный округ — Югра;5616
2025-07-01;Хабаровский край;3722
2025-07-01;Ульяновская область;2570
2025-07-01;Удмуртская Республика;1617
2025-07-01;Тюменская область;13169
2025-07-01;Тульская область;2159
2025-07-01;Томская область;2100
2025-07-01;Тверская область;1606
2025-07-01;Тамбовская область;1491
2025-07-01;Ставропольский край;3968
2025-07-01;Смоленская область;1097
2025-07-01;Севастополь;2123
2025-07-01;Свердловская область;9844
2025-07-01;Сахалинская область;2052
2025-07-01;Саратовская область;3698
2025-02-01;Севастополь;1738
2025-02-01;Свердловская область;9933
2025-02-01;Владимирская область;3100
2025-02-01;Брянская область;1416
2025-02-01;Белгородская область;3123
2025-02-01;Астраханская область;1606
2025-02-01;Архангельская область;1750
2025-02-01;Амурская область;2777
2025-02-01;Алтайский край;2279
2025-02-01;Россия;269403
2025-01-01;Ярославская область;2193
2025-01-01;Ямало-Ненецкий автономный округ;1344
2025-01-01;Чукотский автономный округ;114
2025-01-01;Чувашская Республика;1746
2025-01-01;Чеченская Республика;275
2025-01-01;Челябинская область;5315
2025-01-01;Ханты-Мансийский автономный округ — Югра;5723
2025-01-01;Хабаровский край;3383
2025-01-01;Ульяновская область;2173
2025-01-01;Удмуртская Республика;1906
2025-01-01;Тюменская область;10312
2025-01-01;Тульская область;2031
2025-01-01;Томская область;1721
2025-01-01;Тверская область;1493
2025-01-01;Тамбовская область;1392
2025-01-01;Ставропольский край;3107
2025-01-01;Смоленская область;1272
2025-01-01;Севастополь;1896
2025-01-01;Свердловская область;9133
2025-01-01;Сахалинская область;1406
2025-01-01;Саратовская область;3551
2025-01-01;Санкт-Петербург;14451
2025-01-01;Самарская область;3534
2025-01-01;Рязанская область;1807
2025-01-01;Ростовская область;6955
2025-01-01;Республика Хакасия;1686
2025-01-01;Республика Тыва;582
2025-01-01;Республика Татарстан;5238
2025-01-01;Республика Северная Осетия — Алания;791
2025-01-01;Республика Саха (Якутия);1447
2025-01-01;Республика Мордовия;734
2025-01-01;Республика Марий Эл;1044
2025-01-01;Республика Крым;5611
2025-01-01;Республика Коми;1722
2025-01-01;Республика Карелия;715
2025-01-01;Республика Калмыкия;214
2025-01-01;Республика Дагестан;594
2025-01-01;Республика Бурятия;1775
2025-01-01;Республика Башкортостан;7384
2025-01-01;Республика Алтай;284
2025-01-01;Республика Адыгея;713
2025-01-01;Псковская область;545
2025-01-01;Приморский край;2493
2025-01-01;Пермский край;3961
2025-01-01;Пензенская область;2025
2025-01-01;Орловская область;883
2025-01-01;Оренбургская область;2652
2025-01-01;Омская область;4236
2025-01-01;Новосибирская область;6436
2025-01-01;Новгородская область;627
2025-01-01;Нижегородская область;3938
2025-01-01;Мурманская область;1114
2025-01-01;Московская область;13430
2025-01-01;Москва;12700
2025-01-01;Магаданская область;331
2025-01-01;Липецкая область;1342
2025-01-01;Ленинградская область;5803
2025-01-01;Курская область;1150
2025-01-01;Курганская область;1101
2025-01-01;Красноярский край;4536
2025-01-01;Краснодарский край;24790
2025-01-01;Костромская область;1112
2025-01-01;Кировская область;1291
2025-01-01;Кемеровская область;6257
2025-01-01;Карачаево-Черкесская Республика;292
2025-01-01;Камчатский край;549
2025-01-01;Калужская область;3469
2025-01-01;Калининградская область;3913
2025-01-01;Кабардино-Балкарская Республика;450
2025-01-01;Иркутская область;2997
2025-01-01;Ивановская область;1436
2025-01-01;Забайкальский край;1657
2025-01-01;Еврейская автономная область;110
2025-01-01;Воронежская область;3357
2025-01-01;Вологодская область;1602
2025-01-01;Волгоградская область;3590
2025-01-01;Владимирская область;3769
2025-01-01;Брянская область;1125
2025-01-01;Белгородская область;3393
2025-01-01;Астраханская область;1451
2025-01-01;Архангельская область;1758
2025-01-01;Амурская область;2012
2025-01-01;Алтайский край;2271
2025-01-01;Россия;260721
2024-12-01;Ярославская область;2376
2024-12-01;Ямало-Ненецкий автономный округ;1853
2024-12-01;Чукотский автономный округ;105
2024-12-01;Чувашская Республика;1705
2024-12-01;Чеченская Республика;201
2024-12-01;Челябинская область;5521
2024-12-01;Ханты-Мансийский автономный округ — Югра;6067
2024-12-01;Хабаровский край;3238
2024-12-01;Ульяновская область;2048
2024-12-01;Удмуртская Республика;1788
2024-12-01;Тюменская область;11270
2024-12-01;Тульская область;1969
2024-12-01;Томская область;1859
2024-12-01;Тверская область;1634
2024-12-01;Тамбовская область;1203
2024-12-01;Ставропольский край;4044
2024-12-01;Смоленская область;1168
2024-12-01;Севастополь;2114
2024-12-01;Свердловская область;9170
2024-12-01;Сахалинская область;1489
2024-12-01;Саратовская область;3433
2024-12-01;Санкт-Петербург;15940
2024-12-01;Самарская область;3804
2024-12-01;Рязанская область;1940
2024-12-01;Ростовская область;9954
2024-12-01;Республика Хакасия;1529
2024-12-01;Республика Тыва;523
2024-12-01;Республика Татарстан;5649
2024-12-01;Республика Северная Осетия — Алания;608
2024-12-01;Республика Саха (Якутия);1607
2024-12-01;Республика Мордовия;679
2024-12-01;Республика Марий Эл;1029
2024-12-01;Республика Крым;6934
2024-12-01;Республика Коми;2065
2024-12-01;Республика Карелия;728
2024-12-01;Республика Калмыкия;253
2024-12-01;Республика Дагестан;545
2024-12-01;Республика Бурятия;1607
2024-12-01;Республика Башкортостан;7786
2024-12-01;Республика Алтай;302
2024-12-01;Республика Адыгея;1001
2024-12-01;Псковская область;609
2024-12-01;Приморский край;2697
2024-12-01;Пермский край;4113
2024-12-01;Пензенская область;2134
2024-12-01;Орловская область;922
2024-12-01;Оренбургская область;2698
2024-12-01;Омская область;3452
2024-12-01;Новосибирская область;6752
2024-12-01;Новгородская область;591
2024-12-01;Нижегородская область;4071
2024-12-01;Мурманская область;1066
2024-12-01;Московская область;13718
2024-12-01;Москва;13352
2024-12-01;Магаданская область;287
2024-12-01;Липецкая область;1379
2024-12-01;Ленинградская область;6288
2024-12-01;Курская область;903
2024-12-01;Курганская область;996
2024-12-01;Красноярский край;7645
2024-12-01;Краснодарский край;27591
2024-12-01;Костромская область;1641
2024-12-01;Кировская область;1377
2024-12-01;Кемеровская область;6405
2024-12-01;Карачаево-Черкесская Республика;281
2024-12-01;Камчатский край;495
2024-12-01;Калужская область;4020
2024-12-01;Калининградская область;4485
2024-12-01;Кабардино-Балкарская Республика;525
2024-12-01;Иркутская область;3153
2024-12-01;Ивановская область;1562
2024-12-01;Забайкальский край;1486
2024-12-01;Еврейская автономная область;117
2024-12-01;Воронежская область;3424
2024-12-01;Вологодская область;1838
2024-12-01;Волгоградская область;3801
2024-12-01;Владимирская область;4433
2024-12-01;Брянская область;1325
2024-12-01;Белгородская область;3601
2024-12-01;Астраханская область;1706
2024-12-01;Архангельская область;1836
2024-12-01;Амурская область;2137
2024-12-01;Алтайский край;2016
2024-12-01;Россия;281666
2024-11-01;Ярославская область;2564
2024-11-01;Ямало-Ненецкий автономный округ;2117
2024-11-01;Чукотский автономный округ;118
2024-11-01;Чувашская Республика;1962
2024-11-01;Чеченская Республика;291
2024-11-01;Челябинская область;6487
2024-11-01;Ханты-Мансийский автономный округ — Югра;6546
2024-11-01;Хабаровский край;3842
2024-11-01;Ульяновская область;2564
2024-11-01;Удмуртская Республика;2207
2024-11-01;Тюменская область;11565
2024-11-01;Тульская область;2486
2024-11-01;Томская область;2328
