"date";"category";"value"
"2025-06-30";"Республика Алтай";160787
"2025-06-30";"Республика Башкортостан";83422
"2025-06-30";"Республика Бурятия";118299
"2025-06-30";"Республика Дагестан";87749
"2025-06-30";"Республика Ингушетия";35291
"2025-06-30";"Республика Калмыкия";88367
"2025-06-30";"Республика Карелия";84885
"2025-06-30";"Республика Коми";74261
"2025-06-30";"Республика Крым";152886
"2025-06-30";"Республика Марий Эл";84953
"2025-06-30";"Республика Мордовия";84248
"2025-06-30";"Республика Саха (Якутия)";133535
"2025-06-30";"Республика Северная Осетия — Алания";85726
"2025-06-30";"Республика Татарстан";114395
"2025-06-30";"Республика Тыва";101272
"2025-06-30";"Республика Хакасия";83440
"2025-06-30";"Россия";115775
"2025-06-30";"Ростовская область";93376
"2025-06-30";"Рязанская область";77457
"2025-06-30";"Самарская область";91705
"2025-06-30";"Санкт-Петербург";214617
"2025-06-30";"Саратовская область";77788
"2025-06-30";"Сахалинская область";136498
"2025-06-30";"Свердловская область";91396
"2025-06-30";"Севастополь";162707
"2025-06-30";"Смоленская область";69166
"2025-06-30";"Ставропольский край";93842
"2025-06-30";"Тамбовская область";78129
"2025-06-30";"Тверская область";81310
"2025-06-30";"Томская область";103679
"2025-06-30";"Тульская область";83054
"2025-06-30";"Тюменская область";101982
"2025-06-30";"Удмуртская Республика";85444
"2025-06-30";"Ульяновская область";80046
"2025-06-30";"Хабаровский край";90223
"2025-06-30";"Ханты-Мансийский автономный округ — Югра";90656
"2025-06-30";"Челябинская область";78443
"2025-06-30";"Чеченская Республика";37741
"2025-06-30";"Чувашская Республика";94648
"2025-06-30";"Чукотский автономный округ";136977
"2025-06-30";"Ямало-Ненецкий автономный округ";129864
"2025-06-30";"Ярославская область";79364
"2025-05-31";"Алтайский край";89096
"2025-05-31";"Амурская область";127307
"2025-05-31";"Архангельская область";102187
"2025-05-31";"Астраханская область";76281
"2025-05-31";"Белгородская область";82813
"2025-05-31";"Брянская область";70012
"2025-05-31";"Владимирская область";73097
"2025-05-31";"Волгоградская область";81464
"2025-05-31";"Вологодская область";79241
"2025-05-31";"Воронежская область";93999
"2025-05-31";"Еврейская автономная область";82947
"2025-05-31";"Забайкальский край";107560
"2025-05-31";"Ивановская область";73152
"2025-05-31";"Иркутская область";92909
"2025-05-31";"Кабардино-Балкарская Республика";71776
"2025-05-31";"Калининградская область";106467
"2025-05-31";"Калужская область";91519
"2025-05-31";"Камчатский край";126563
"2025-05-31";"Карачаево-Черкесская Республика";84744
"2025-05-31";"Кемеровская область";79835
"2025-05-31";"Кировская область";86509
"2025-05-31";"Костромская область";71735
"2025-05-31";"Краснодарский край";146699
