"date";"category";"value"
"2025-03-31";"Ульяновская область";113092
"2025-03-31";"Хабаровский край";157991
"2025-03-31";"Ханты-Мансийский автономный округ — Югра";142248
"2025-03-31";"Челябинская область";120836
"2025-03-31";"Чувашская Республика";112801
"2025-03-31";"Ямало-Ненецкий автономный округ";178369
"2025-03-31";"Ярославская область";111603
"2025-02-28";"Алтайский край";123964
"2025-02-28";"Амурская область";188384
"2025-02-28";"Архангельская область";124744
"2025-02-28";"Астраханская область";155310
"2025-02-28";"Белгородская область";117880
"2025-02-28";"Брянская область";100071
"2025-02-28";"Владимирская область";102834
"2025-02-28";"Волгоградская область";114033
"2025-02-28";"Вологодская область";100396
"2025-02-28";"Воронежская область";120681
"2025-02-28";"Забайкальский край";170984
"2025-02-28";"Ивановская область";100313
"2025-02-28";"Иркутская область";155446
"2025-02-28";"Кабардино-Балкарская Республика";102584
"2025-02-28";"Калининградская область";133316
"2025-02-28";"Калужская область";115465
"2025-02-28";"Камчатский край";175566
"2025-02-28";"Карачаево-Черкесская Республика";95246
"2025-02-28";"Кемеровская область";122391
"2025-02-28";"Кировская область";124486
"2025-02-28";"Костромская область";104507
"2025-02-28";"Краснодарский край";167730
"2025-02-28";"Красноярский край";129132
"2025-02-28";"Курганская область";93422
"2025-02-28";"Курская область";112101
"2025-02-28";"Ленинградская область";172055
"2025-02-28";"Липецкая область";98831
"2025-02-28";"Москва";352019
"2025-02-28";"Московская область";191404
"2025-02-28";"Нижегородская область";157223
"2025-02-28";"Новгородская область";116894
"2025-02-28";"Новосибирская область";140229
"2025-02-28";"Омская область";160199
"2025-02-28";"Оренбургская область";88115
"2025-02-28";"Орловская область";85695
"2025-02-28";"Пензенская область";103340
"2025-02-28";"Пермский край";144674
"2025-02-28";"Приморский край";167600
"2025-02-28";"Псковская область";80308
"2025-02-28";"Республика Адыгея";122997
"2025-02-28";"Республика Алтай";236637
"2025-02-28";"Республика Башкортостан";141744
"2025-02-28";"Республика Бурятия";142458
"2025-02-28";"Республика Дагестан";153957
"2025-02-28";"Республика Калмыкия";75598
"2025-02-28";"Республика Карелия";128531
"2025-02-28";"Республика Коми";118198
"2025-02-28";"Республика Крым";181145
"2025-02-28";"Республика Марий Эл";104004
"2025-02-28";"Республика Мордовия";116480
"2025-02-28";"Республика Саха (Якутия)";177577
"2025-02-28";"Республика Северная Осетия — Алания";111065
"2025-02-28";"Республика Татарстан";186648
"2025-02-28";"Республика Тыва";156176
"2025-02-28";"Республика Хакасия";125055
"2025-02-28";"Россия";171317
"2025-02-28";"Ростовская область";136260
"2025-02-28";"Рязанская область";121744
"2025-02-28";"Самарская область";128628
"2025-02-28";"Санкт-Петербург";242810
"2025-02-28";"Саратовская область";99323
"2025-02-28";"Сахалинская область";200306
"2025-02-28";"Свердловская область";149036
"2025-02-28";"Севастополь";157585
"2025-02-28";"Смоленская область";92260
"2025-02-28";"Ставропольский край";109210
"2025-02-28";"Тамбовская область";98897
"2025-02-28";"Тверская область";122361
"2025-02-28";"Томская область";141831
"2025-02-28";"Тульская область";133181
"2025-02-28";"Тюменская область";142933
"2025-02-28";"Удмуртская Республика";112165
"2025-02-28";"Ульяновская область";112310
"2025-02-28";"Хабаровский край";157448
"2025-02-28";"Ханты-Мансийский автономный округ — Югра";143126
"2025-02-28";"Челябинская область";120515
"2025-02-28";"Чувашская Республика";113193
"2025-02-28";"Ямало-Ненецкий автономный округ";176726
"2025-02-28";"Ярославская область";110836
"2025-01-31";"Алтайский край";123746
"2025-01-31";"Амурская область";188025
"2025-01-31";"Архангельская область";123842
